Year,Month,Day,Date,AQI,AQI_Category_Indian_GOV
2017,1,1,2017-01-01,,Unknown
2017,1,2,2017-01-02,,Unknown
2017,1,3,2017-01-03,,Unknown
2017,1,4,2017-01-04,,Unknown
2017,1,5,2017-01-05,,Unknown
2017,1,6,2017-01-06,,Unknown
2017,1,7,2017-01-07,,Unknown
2017,1,8,2017-01-08,,Unknown
2017,1,9,2017-01-09,,Unknown
2017,1,10,2017-01-10,,Unknown
2017,1,11,2017-01-11,,Unknown
2017,1,12,2017-01-12,,Unknown
2017,1,13,2017-01-13,,Unknown
2017,1,14,2017-01-14,,Unknown
2017,1,15,2017-01-15,,Unknown
2017,1,16,2017-01-16,,Unknown
2017,1,17,2017-01-17,,Unknown
2017,1,18,2017-01-18,,Unknown
2017,1,19,2017-01-19,,Unknown
2017,1,20,2017-01-20,,Unknown
2017,1,21,2017-01-21,,Unknown
2017,1,22,2017-01-22,,Unknown
2017,1,23,2017-01-23,,Unknown
2017,1,24,2017-01-24,,Unknown
2017,1,25,2017-01-25,,Unknown
2017,1,26,2017-01-26,,Unknown
2017,1,27,2017-01-27,,Unknown
2017,1,28,2017-01-28,,Unknown
2017,1,29,2017-01-29,,Unknown
2017,1,30,2017-01-30,,Unknown
2017,1,31,2017-01-31,,Unknown
2017,2,1,2017-02-01,,Unknown
2017,2,2,2017-02-02,,Unknown
2017,2,3,2017-02-03,,Unknown
2017,2,4,2017-02-04,,Unknown
2017,2,5,2017-02-05,,Unknown
2017,2,6,2017-02-06,,Unknown
2017,2,7,2017-02-07,,Unknown
2017,2,8,2017-02-08,,Unknown
2017,2,9,2017-02-09,,Unknown
2017,2,10,2017-02-10,,Unknown
2017,2,11,2017-02-11,,Unknown
2017,2,12,2017-02-12,,Unknown
2017,2,13,2017-02-13,,Unknown
2017,2,14,2017-02-14,,Unknown
2017,2,15,2017-02-15,,Unknown
2017,2,16,2017-02-16,,Unknown
2017,2,17,2017-02-17,,Unknown
2017,2,18,2017-02-18,,Unknown
2017,2,19,2017-02-19,,Unknown
2017,2,20,2017-02-20,,Unknown
2017,2,21,2017-02-21,,Unknown
2017,2,22,2017-02-22,,Unknown
2017,2,23,2017-02-23,,Unknown
2017,2,24,2017-02-24,,Unknown
2017,2,25,2017-02-25,,Unknown
2017,2,26,2017-02-26,,Unknown
2017,2,27,2017-02-27,,Unknown
2017,2,28,2017-02-28,,Unknown
2017,3,1,2017-03-01,,Unknown
2017,3,2,2017-03-02,,Unknown
2017,3,3,2017-03-03,,Unknown
2017,3,4,2017-03-04,,Unknown
2017,3,5,2017-03-05,,Unknown
2017,3,6,2017-03-06,,Unknown
